model,window,n_fit_samples,n_val_anchors,train_seconds,mae_avg_all_steps,mae_step_1,mae_step_2,mae_step_3,mae_step_4,mae_step_5,mae_step_6,mae_step_7,mae_step_8,mae_step_9,mae_step_10,mae_step_11,mae_step_12,mae_step_13,mae_step_14,mae_step_15,mae_step_16,mae_step_17,mae_step_18
lightgbm,14,461405,26285,3.4751968383789062,14.10689923535764,3.13944081007788,5.408281892497989,7.249019541429299,8.733709472295255,10.031031207292038,11.271352164630908,12.393878271339927,13.48043859463514,14.57418275679222,15.650429386802719,16.677142175448445,17.601078613050298,18.35954701539582,19.00782786835623,19.51228321041937,19.93397791030312,20.277221067827117,20.623344277843735
catboost,14,461405,26285,12.216259241104126,14.238488118294022,3.147683771524879,5.384523662299508,7.193066662522689,8.672640436798183,9.989199486935084,11.264388992178588,12.433405032615278,13.56601452982491,14.670413068942244,15.757340296834943,16.81044983969788,17.771857017940743,18.584036075257117,19.276984870202913,19.827824494133925,20.28035539548663,20.646983208774238,21.015619287322586
xgboost,15,451675,25585,8.335621356964111,14.372515336028957,3.1639454262923374,5.4762006415597675,7.31283569991973,8.909597243353192,10.313831161012962,11.582696162841271,12.759219636482863,13.922622807696388,14.988098403963466,15.979229837119032,16.924319950630824,17.804908210615732,18.58997399511108,19.341084023856407,19.879761416114864,20.280587459025217,20.591310495060124,20.885053477865984
lightgbm,15,451675,25585,4.238576650619507,14.303225992929507,3.149441510616281,5.432503295265405,7.239188076699093,8.81648374677239,10.192198983204621,11.452231259198062,12.630853453983626,13.807847930544629,14.895611541470721,15.914561020141605,16.877796537459556,17.75927799876767,18.53732897834413,19.278563511759504,19.81547093383377,20.217458633002025,20.55155121858271,20.889699243085342
catboost,15,451675,25585,12.06600046157837,14.388227767015884,3.1724445074548955,5.452257035993691,7.2286435158751035,8.787451151009396,10.17904923438051,11.466058369140756,12.690390769944152,13.90836969108636,15.028740867675767,16.07097732789337,17.046575775986042,17.9290138518034,18.702189066461266,19.426706462681395,19.957159193800084,20.32882854047801,20.6530481345314,20.960196310090296
xgboost,16,441980,24850,8.32362699508667,14.610825483636411,3.188076752752845,5.520695692710953,7.411220204527949,9.022764071612292,10.427690811617753,11.715687912877657,12.908253908214915,14.117644772443253,15.256455738827496,16.35315522468306,17.32123349042006,18.179230785101232,18.909996458241636,19.623904517191036,20.184534575617768,20.61984852658431,20.957709030059263,21.27675623197191
lightgbm,16,441980,24850,3.5986156463623047,14.587496302821348,3.1767583353111553,5.483262970849433,7.362900976223116,8.957424372497211,10.36795211410682,11.665614524381986,12.88397637110838,14.112908034395282,15.290974303403095,16.41002720141694,17.36862545921571,18.199292050554337,18.906898555601103,19.581749736881292,20.114555093634667,20.55019403627689,20.89968033209744,21.24213898282945
catboost,16,441980,24850,11.958171129226685,14.63901790435515,3.1884008135648685,5.500826692537275,7.3530609926533375,8.933015106799857,10.329054903749041,11.625645931655558,12.862848548405882,14.071584520988576,15.217234328913998,16.327606014273606,17.315105936366347,18.195280947769568,18.970699189721365,19.722278150007618,20.326364011641335,20.800546878367477,21.201568705625316,21.561200605351665
xgboost,17,432285,24115,8.17784333229065,14.665727013091791,3.1676693664209097,5.513531544127949,7.360576127708984,8.924004899162785,10.35027050862242,11.755951878759047,13.025659692215767,14.267082410824637,15.46498088358152,16.535270972808515,17.48426968619805,18.343479674875354,19.023107512155907,19.63654693660463,20.168029192901365,20.610563027233397,20.99312178271454,21.358970138736467
lightgbm,17,432285,24115,3.5483508110046387,14.700596285649844,3.1834548253038775,5.527911711232162,7.374052891548705,8.939400671015486,10.35206456547871,11.754041657343182,13.011819604231402,14.24627420676315,15.440727692496516,16.52502965999663,17.498008496629136,18.398398681604718,19.124316254288793,19.737093346232044,20.253235493613136,20.696964450210366,21.082384794207442,21.465554139501734
